URL,first_window_share,half_life_day,late_window_share,mean_accum_day,accel_index,plateau_day,Group,is_treatment
https://x.com/EnglishLadYorks/status/2011795548114702611,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/Fedup026/status/2001645438110437703,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/FredMisdom/status/2000531975703281712,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/FredMisdom/status/2008854338270286100,0.0,3.0,0.0,3.0,,1.0,Control,0
https://x.com/GeneralFluffyz/status/1998344185519239425,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/GeromanAT/status/1995759948358185390,0.9660493827160493,1.0,0.0,1.6724137931034482,-13.780971267855332,2.0,Treatment,1
https://x.com/GeromanAT/status/1995810304979054676,0.9333333333333333,1.0,0.0,1.0666666666666667,-13.74651875790532,3.0,Control,0
https://x.com/GeromanAT/status/2005223178814263710,1.0,1.0,0.0,2.1538461538461537,-13.815511557963774,2.0,Control,0
https://x.com/GilesRocholl/status/2001632644027560041,0.6666666666666666,1.0,0.0,1.3333333333333333,-13.410046949854985,3.0,Treatment,1
https://x.com/Glenn_Diesen/status/2003365990902444457,0.9117117117117117,1.0,0.005405405405405406,1.2410714285714286,-5.127740494567089,3.0,Treatment,1
https://x.com/GudadzeLevan/status/2000876935568601532,0.5,1.0,0.0,2.5,-13.122365377402328,2.0,Treatment,1
https://x.com/HavryshkoMarta/status/2004166320871399706,0.9464285714285714,1.0,0.0,1.0701754385964912,-13.760451837384462,3.0,Control,0
https://x.com/Hawkeye1745/status/2005146024738779365,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/Healey2405/status/2000449596351533196,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/HotSpotHotSpot/status/2001282502065836200,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/HubertusVenator/status/2003072958408093945,0.0,2.0,0.0,2.0,,1.0,Treatment,1
https://x.com/IslanderWORLD/status/2004048668119138548,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/JHArnous/status/2004054584076251544,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/JJKALE2/status/1996533397624426811,1.0,1.0,0.2222222222222222,2.272727272727273,-1.504073896785899,2.0,Treatment,1
https://x.com/JS_Mill_Acolyte/status/1996121662312644942,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/JacobP32213953/status/2012768265060122910,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/JamesBradleyCA/status/2009245331754766807,0.7058823529411765,1.0,0.0,1.8888888888888888,-13.467205280361721,4.0,Treatment,1
https://x.com/JasnicSlobodan/status/2005988740884488507,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/JasnicSlobodan/status/2005989284940230919,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/JimmyfromToledo/status/2001622290061037954,0.0,8.0,1.0,8.0,,1.0,Treatment,1
https://x.com/JohnMMacgregor/status/1999069316545699846,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/KJanoski50502/status/1999111889117225259,0.0,4.0,0.0,4.0,,1.0,Control,0
https://x.com/LanceSt81774855/status/2008172936721805617,0.0,3.0,0.0,3.5,,1.0,Control,0
