URL,first_window_share,half_life_day,late_window_share,mean_accum_day,accel_index,plateau_day,Group,is_treatment
https://x.com/BowesChay/status/1996173251999928821,0.8437705998681608,1.0,-0.0013183915622940012,1.1744262295081966,,3.0,Treatment,1
https://x.com/BowesChay/status/2000863054091968849,0.8952262864228147,1.0,-0.0018598884066955983,1.1321803582458307,,3.0,Treatment,1
https://x.com/BowlerBarrister/status/2012782791780692259,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/BrendanWLong/status/2001251358742073487,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/BrianLee1928112/status/1997975026335641600,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/Brigadier_S6/status/1998753205283655720,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/BrosManney/status/1997980792350285875,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/CARTOONISThugo/status/2000883925124624883,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/CaledoniaLad/status/2000466026031382639,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/CannConActual/status/2005148455891828902,0.984375,1.0,0.0,1.03125,-13.799763216868635,2.0,Treatment,1
https://x.com/CarlAFez/status/1998677288980824322,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/CforCD/status/1998706066373361843,0.875,1.0,0.125,2.375,-1.9459032919438028,2.0,Control,0
https://x.com/ChannySaako/status/2002631408981061919,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ChannySaako/status/2002635097150009789,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/ChrisHo03515950/status/2000871267134574983,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ChrisHo03515950/status/2000877440789270937,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/ChrisHo03515950/status/2001180794513928355,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ChristianPetak/status/2005953803283992618,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/ComfortEagle1/status/2000200152213057957,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ConciousLabRat/status/2000502257813520480,0.8571428571428571,1.0,0.0,1.1785714285714286,-13.661361044803002,3.0,Treatment,1
https://x.com/ConservTreeHggr/status/2000434410441814332,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ContrarianOwl/status/2011768022403281368,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
