URL,cluster,Group,is_treatment
https://x.com/BennyLottaz/status/1999109221275816295,2,Treatment,1
https://x.com/BernieG95778509/status/2001236092205588508,2,Treatment,1
https://x.com/BernieG95778509/status/2001238554874109981,1,Treatment,1
https://x.com/BernieG95778509/status/2002678914016047138,1,Treatment,1
https://x.com/Best_Fisher/status/1995815067867025411,2,Treatment,1
https://x.com/Best_Fisher/status/1995815164415807913,0,Control,0
https://x.com/Best_Fisher/status/1995824382141161494,0,Control,0
https://x.com/BhavikaKapoor5/status/1998024657996566868,0,Control,0
https://x.com/BigTobes1/status/2012851504424607844,0,Control,0
https://x.com/BigTobes1/status/2012866624043237396,2,Control,0
https://x.com/Bijke1953/status/1996574656942211563,0,Control,0
https://x.com/BillDunblane/status/2000165078981808365,0,Control,0
https://x.com/Bill_Owen/status/2012878396536041693,2,Treatment,1
https://x.com/Bjklark/status/1998296022087504112,0,Control,0
https://x.com/BlackDouglas/status/2008735842685382660,2,Treatment,1
https://x.com/BlackTempar/status/2005985007391973803,0,Control,0
https://x.com/Blacktuskprod/status/1998599692217889147,0,Control,0
https://x.com/BobD187/status/2002729559532429810,0,Control,0
https://x.com/BoetSchouwink/status/1997620057187492188,0,Treatment,1
https://x.com/BooBooKittyCan/status/1996569621005033560,1,Treatment,1
https://x.com/BorisNChuryk/status/1997622294253044005,2,Treatment,1
https://x.com/BowesChay/status/1996173251999928821,0,Treatment,1
https://x.com/BowesChay/status/2000863054091968849,0,Treatment,1
https://x.com/BowlerBarrister/status/2012782791780692259,0,Treatment,1
https://x.com/BrendanWLong/status/2001251358742073487,2,Control,0
https://x.com/Brian485464940/status/1998366449858228464,0,Treatment,1
https://x.com/BrianLee1928112/status/1997975026335641600,0,Treatment,1
https://x.com/Brigadier_S6/status/1998753205283655720,0,Treatment,1
https://x.com/BrosManney/status/1997980792350285875,2,Control,0
https://x.com/Bubbaflaco/status/1997873961896460432,0,Treatment,1
https://x.com/Bubbaflaco/status/1998738251033571640,2,Treatment,1
https://x.com/BulgarianStoic/status/2000111983325229543,2,Treatment,1
https://x.com/CARTOONISThugo/status/2000883925124624883,2,Treatment,1
https://x.com/CGTNEurope/status/2005931469340909622,0,Control,0
https://x.com/COLScottTaylor/status/1998389352410320999,0,Treatment,1
https://x.com/COPPICE2066/status/2001230542293938244,2,Control,0
https://x.com/CSabatzki/status/2003411943801983483,0,Treatment,1
https://x.com/CaledoniaLad/status/2000466026031382639,0,Treatment,1
https://x.com/CannConActual/status/2005148455891828902,0,Treatment,1
https://x.com/CapersQ/status/1998285466274021751,2,Treatment,1
https://x.com/CarlAFez/status/1998677288980824322,0,Treatment,1
https://x.com/CarlAFez/status/1999040002076872914,0,Control,0
https://x.com/Ccat2025/status/1996580091300806927,0,Treatment,1
https://x.com/CdeNMaswerasei/status/2012811993384722527,2,Treatment,1
https://x.com/CforCD/status/1998706066373361843,0,Control,0
https://x.com/ChannySaako/status/2002631408981061919,0,Control,0
https://x.com/ChannySaako/status/2002635097150009789,0,Treatment,1
https://x.com/ChaunceyHallOnX/status/1998613309675753635,0,Control,0
https://x.com/ChrisCoetz24345/status/2000779076387196989,0,Treatment,1
https://x.com/ChrisHo03515950/status/2000871267134574983,0,Control,0
https://x.com/ChrisHo03515950/status/2000877440789270937,0,Treatment,1
https://x.com/ChrisHo03515950/status/2001180794513928355,0,Control,0
https://x.com/ChrisKotze19/status/1998706408590815709,0,Treatment,1
https://x.com/Chris_Somewhere/status/2005974767980142758,2,Treatment,1
https://x.com/Chris_Somewhere/status/2006210491325055349,0,Treatment,1
https://x.com/ChristianPetak/status/2005953803283992618,0,Treatment,1
https://x.com/ChrliesWarchest/status/2000910806590910947,2,Treatment,1
https://x.com/CltNc13/status/2005269430755004614,1,Control,0
https://x.com/ComfortEagle1/status/2000200152213057957,2,Control,0
https://x.com/ConciousLabRat/status/2000502257813520480,0,Treatment,1
https://x.com/ConservTreeHggr/status/2000434410441814332,0,Control,0
https://x.com/ContrarianOwl/status/2011768022403281368,0,Treatment,1
https://x.com/Cuber_tron/status/1997955331561820196,0,Treatment,1
https://x.com/Cuber_tron/status/1998277107143836088,0,Control,0
https://x.com/Cuber_tron/status/2000547361005752608,0,Control,0
https://x.com/Cuber_tron/status/2001181315865927726,1,Control,0
https://x.com/Cuber_tron/status/2001187089182806426,2,Control,0
https://x.com/Cuber_tron/status/2001200702199136647,0,Treatment,1
https://x.com/Cuber_tron/status/2006237840737276178,0,Treatment,1
https://x.com/Cuber_tron/status/2008116305061437811,0,Control,0
https://x.com/Cully186/status/2000154719600423153,0,Treatment,1
https://x.com/Cybertrckr/status/2008125304917950927,2,Control,0
https://x.com/CyrilBonhomme/status/2000545506267664865,1,Treatment,1
https://x.com/DE44797/status/1996165852530672079,0,Control,0
https://x.com/DLMitchell3/status/1995761476892590484,0,Control,0
https://x.com/DMRuth4/status/1996202243981492225,2,Treatment,1
https://x.com/DPrabhata/status/2003384219322736838,2,Treatment,1
https://x.com/DPrabhata/status/2008792664054132768,2,Control,0
https://x.com/DRDunderdale/status/1996574669583913136,2,Treatment,1
https://x.com/DStateRespTeam/status/2002965605146907015,0,Control,0
https://x.com/DaRealBease/status/2005269437948350843,2,Control,0
https://x.com/DanielLantigua/status/2002594776496169332,0,Control,0
https://x.com/DannyMagohe/status/2009234655183294706,2,Treatment,1
https://x.com/DannyMagohe/status/2009240572700291512,0,Control,0
https://x.com/Darmashkian/status/1999062677071745472,0,Treatment,1
https://x.com/DarrylK22404230/status/2000434566905864631,2,Control,0
https://x.com/Darthmirror/status/2001558912701755860,0,Control,0
https://x.com/DavidCheungGuy/status/1998017036648174037,0,Treatment,1
https://x.com/DavidJayJordan/status/2008448269186462024,2,Control,0
https://x.com/DavidKNC77/status/2001651652038701243,0,Treatment,1
https://x.com/DavidKe66584564/status/1995751340589666726,0,Control,0
https://x.com/DavidMitchel11/status/1996555531847344609,0,Control,0
https://x.com/DavidMitchel11/status/1998972266022121773,2,Treatment,1
https://x.com/DavidMitchel11/status/2010313411473846289,1,Control,0
https://x.com/DavidMitchel11/status/2010710053444366507,2,Treatment,1
https://x.com/DavidWall_/status/1996519782263210150,0,Treatment,1
https://x.com/DavidWall_/status/1996520004905284090,2,Control,0
https://x.com/DavidWall_/status/1996520592116158945,0,Control,0
