contrast,median_diff,mean_diff,mwu_p,welch_p,verdict
Views growth (raw),25.0,-6409.149819667423,0.00020901045521999327,0.30171008961208756,SIGN FLIP; SIG FLIP (MWU sig / t ns)
Likes growth (raw),0.0,-145.98725822098484,0.5987947398122339,0.1879779741069584,consistent
Shares growth (raw),0.0,-13.844530802775552,0.9545672025584753,0.7670770882621776,consistent
Views growth (winsorized),25.0,9.202080456493434,0.00020725005469274322,0.8831044480425154,SIG FLIP (MWU sig / t ns)
Likes growth (winsorized),0.0,-11.95621912770963,0.5997143430274012,0.6500216463844073,consistent
Shares growth (winsorized),0.0,1.0419096661449103,0.9551832161764678,0.9014589617476306,consistent
Likes per 1k Views,0.0,-3.005207736446632,0.924655204950936,0.23529073323087757,consistent
Shares per 1k Views,0.0,-1.1844669379301762,0.7057037607334641,0.07714058069286273,consistent
